,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,20.32155523255814,89.94709302325582,20.410305232558134,878.0290697674419,18505.601744186046
std,1.414230049033147,8.493773469584353,1.414297875345028,229.37057352234373,999.3514803063777
min,4.17,0.0,4.25,-2816.1,0.0
25%,20.45,90.86,20.54,905.425,18580.0
50%,20.45,91.485,20.54,914.45,18710.0
75%,20.46,92.1,20.54,920.4,18826.0
max,20.47,98.29,20.56,978.8,20012.0
