,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,0.41803779069767444,-0.005683139534883721,0.41803779069767444,-0.07383720930232558,0.0
std,1.2348240632876655,0.013132341956682985,1.2348240632876655,0.1330915006710105,0.0
min,0.37,-0.04,0.37,-0.5,0.0
25%,0.37,-0.01,0.37,-0.2,0.0
50%,0.37,-0.01,0.37,-0.1,0.0
75%,0.37,0.0,0.37,0.0,0.0
max,32.76,0.03,32.76,0.3,0.0
