,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,0.6597965116279069,-0.007093023255813952,0.6597965116279069,-0.07805232558139535,5.8895348837209305
std,3.0131978427351416,0.195815712780982,3.0131978427351416,1.9580679178867049,77.76162212663739
min,0.0,-0.05,0.0,-0.5,-6.0
25%,0.37,-0.02,0.37,-0.2,0.0
50%,0.38,-0.01,0.38,-0.1,0.0
75%,0.38,-0.01,0.38,-0.1,0.0
max,32.76,5.11,32.76,51.1,1022.0
