,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,25.97156976744186,7.889040697674418,25.979418604651162,78.94956395348838,2057.5552325581393
std,1.3808442582625475,0.8526487259532338,1.3807212676654872,8.79282821669489,229.10034763929653
min,0.4,6.99,0.41,67.0,1616.0
25%,26.0,7.14,26.0,71.5,1864.0
50%,26.03,7.595,26.04,75.45,1974.0
75%,26.1,8.37,26.1,83.825,2182.0
max,26.17,12.08,26.18,112.8,3100.0
