,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,0.3899563953488373,-0.011482558139534884,0.3899563953488373,-0.11133720930232557,0.0
std,0.000659376288221584,0.013771254087858705,0.000659376288221584,0.1311219626675938,0.0
min,0.38,-0.05,0.38,-0.5,0.0
25%,0.39,-0.02,0.39,-0.2,0.0
50%,0.39,-0.01,0.39,-0.1,0.0
75%,0.39,0.0,0.39,0.0,0.0
max,0.39,0.03,0.39,0.3,0.0
