,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,8.990450581395349,32.43,9.021002906976742,324.29491279069765,2918.468023255814
std,0.28142794631340823,0.16164997137641898,0.2810740680384916,1.6393683746442582,14.36584258089791
min,1.62,31.66,1.66,316.5,2848.0
25%,9.0,32.36,9.03,323.6,2913.0
50%,9.0,32.44,9.03,324.4,2920.0
75%,9.0,32.52,9.03,325.2,2926.0
max,9.01,32.86,9.04,328.4,2952.0
