,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,5.160872093023255,61.0676453488372,5.221656976744186,611.2414244186047,3155.267441860465
std,0.5495782116225352,5.1185072744199385,0.5495326995189939,52.97759886655223,421.98166794259964
min,2.68,58.62,2.74,585.7,2046.0
25%,5.15,58.96,5.21,589.6,3038.0
50%,5.15,59.07,5.21,590.7,3044.0
75%,5.15,61.71,5.21,620.775,3179.0
max,19.07,99.8,19.13,998.1,11850.0
