,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,0.3801017441860465,0.05228197674418605,0.3801017441860465,0.5273255813953488,0.7412790697674418
std,0.0026687249808205805,0.015992961357165904,0.0026687249808205805,0.15100960123406884,19.443567717406932
min,0.38,0.0,0.38,0.0,0.0
25%,0.38,0.04,0.38,0.4,0.0
50%,0.38,0.05,0.38,0.5,0.0
75%,0.38,0.06,0.38,0.6,0.0
max,0.45,0.09,0.45,1.0,510.0
