,Bus,Shunt,Load,Current,Power
count,688.0,688.0,688.0,688.0,688.0
mean,0.8791569767441862,-0.0204796511627907,0.8791569767441862,-0.20988372093023255,0.0
std,0.0034781594522946472,0.013224173705143675,0.0034781594522946472,0.13267371791737098,0.0
min,0.82,-0.06,0.82,-0.6,0.0
25%,0.88,-0.03,0.88,-0.3,0.0
50%,0.88,-0.02,0.88,-0.2,0.0
75%,0.88,-0.01,0.88,-0.1,0.0
max,0.88,0.02,0.88,0.2,0.0
