,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,27.761700879765396,6.666832844574779,27.76818181818182,64.99178885630499,1982.3255131964809
std,2.6449780711818787,18.043986594313836,2.64516113931524,180.4123861216438,2586.736326325618
min,0.0,-325.13,0.0,-3251.3,-64002.0
25%,27.94,6.64,27.95,65.92500000000001,1792.0
50%,28.02,7.475,28.03,74.0,2048.0
75%,28.11,8.7475,28.12,85.25,2346.0
max,30.46,14.59,30.47,131.2,3494.0
