,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,0.6127712609970675,0.024692082111436954,0.612800586510264,4.774340175953079,6.6950146627565985
std,2.6233790358638696,0.8083136170935865,2.6233764298377102,125.49171668233004,80.450663122454
min,0.0,-0.07,0.0,-0.6,-8.0
25%,0.38,-0.02,0.38,-0.2,0.0
50%,0.38,-0.01,0.38,-0.1,0.0
75%,0.38,0.0,0.38,-0.1,0.0
max,32.76,20.47,32.76,3276.7,1022.0
