,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,5.165938416422287,75.87008797653958,5.242829912023462,750.724780058651,3863.41642228739
std,0.5591816043884812,15.926837664620864,0.559244085827235,249.54107337245702,3787.678621374759
min,2.68,-289.29,2.76,-2892.9,-63490.0
25%,5.16,76.64,5.24,766.7,3962.0
50%,5.16,76.8,5.24,768.2,3968.0
75%,5.16,76.94,5.24,769.8,3978.0
max,19.07,100.19,19.14,1001.2,15456.0
