,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,5.242873900293256,0.0016422287390030225,5.242873900293255,0.05381231671554359,-285.2756598240469
std,1.128479391650323,17.688662926416473,1.128616794814818,176.88931503209187,4306.519240402017
min,0.0,-325.13,0.0,-3251.3,-65026.0
25%,5.23,-0.01,5.23,-0.1,0.0
50%,5.23,0.0,5.23,0.0,0.0
75%,5.24,0.01,5.24,0.1,0.0
max,32.76,327.67,32.76,3276.7,510.0
