,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,5.164472140762463,60.189618768328444,5.225527859237538,607.2593841642229,2814.7214076246332
std,0.5398347220426544,21.06129455871151,0.5401330395351279,152.1602559872863,5155.861793405463
min,2.96,-296.97,3.02,-2969.7,-64002.0
25%,5.15,59.47,5.21,594.7,3064.0
50%,5.15,59.58,5.21,595.6,3068.0
75%,5.15,61.135,5.21,610.1999999999999,3163.5
max,19.07,104.39,19.13,1062.4,11962.0
