,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,0.9930205278592376,-0.020747800586510268,0.9930205278592376,-0.22140762463343108,-189.95894428152494
std,1.8299902416278555,0.013147677064381046,1.8299902416278555,0.13223176756339464,3518.862938521984
min,0.51,-0.06,0.51,-0.6,-65026.0
25%,0.87,-0.03,0.87,-0.3,0.0
50%,0.88,-0.02,0.88,-0.2,0.0
75%,0.88,-0.01,0.88,-0.1,0.0
max,32.76,0.02,32.76,0.1,510.0
