,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,0.39010263929618777,-0.48416422287390026,0.3896334310850441,-4.876979472140762,-286.0469208211144
std,0.0023286554480413686,12.449979186839073,0.012476607054784454,124.49458013300395,4306.42365368526
min,0.39,-325.13,0.07,-3251.3,-65026.0
25%,0.39,-0.02,0.39,-0.2,0.0
50%,0.39,-0.01,0.39,-0.1,0.0
75%,0.39,0.0,0.39,0.0,0.0
max,0.45,2.55,0.45,0.3,0.0
