,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,20.22646627565982,88.19510263929618,20.316085043988263,884.3058651026392,18303.281524926686
std,1.9989508936120657,19.021042557514168,2.0001254905811843,183.9186391040793,4146.299229902163
min,0.0,-281.61,0.0,-2816.1,-56322.0
25%,20.44,88.11,20.54,882.8249999999999,18066.0
50%,20.45,89.58,20.54,895.95,18339.0
75%,20.45,91.88,20.54,918.3,18782.0
max,26.62,108.82,26.71,1077.5,36862.0
