,Bus,Shunt,Load,Current,Power
count,682.0,682.0,682.0,682.0,682.0
mean,8.967507331378298,31.986026392961872,8.998401759530791,316.5272727272727,2877.8123167155427
std,0.4878626140583062,13.413516203189332,0.4878975210726669,186.15203208540606,2588.2628966713723
min,1.62,-309.77,1.66,-3097.7,-64002.0
25%,9.0,32.68,9.03,326.8,2942.0
50%,9.0,32.78,9.03,327.65,2950.0
75%,9.0,32.85,9.03,328.6,2960.0
max,9.0,33.16,9.04,332.0,6602.0
